Recipe,Dark Rum,Light Rum,Gold Rum,Curacao,Lemon Juice,Pina Colada,Orange Juice,Simple Syrup,Passionfruit Syrup,Lime Juice,Pineapple Juice,Orgeat,Angostura
Calibration,2.043362475,1.8375,1.9097375,1.9125,2.008125,1.8503625,1.9663875,1.8915414375,2.028,2.09757625,1.89246225,1.9062225,
Prime,0.57,0.53,0.51,0.53,0.44,0.53,0.42,0.50,0.48,0.48,0.41,0.42,
Mai Tai,1,,1,0.5,,,0.5,0.25,,1,,0.25,
Tail-less Scorpion,,,,,1.5,,3,,,,1.5,0.75,
Scorpion,,2,,,1.5,,3,,,,1.5,0.75,
Trader Vic Grog,2,,,,1,,,,1,,1,,0.1
Pieces of Eight,,1.5,,,1.5,,,,1.5,0.5,,,
Hurricane,4,,,,2,,,,2,,,,
Outrigger,,,1.5,0.75,0.75,,,,,,,,
Chief Lapu Lapu,1.5,1.5,,,2,,3,1,1,,,,
Moonlight,,,,,,,,2,,1,3,,
Citrus Sunset,,,,,0.1,0.5,0.1,,0.1,,,,
Passionfruit Wellness,,,,,,0.2,,,0.2,0.1,,,
Cool Coconut,,,,,,0.2,0.1,,0.2,,,,
Pina Co-nada,,,,,,0.4,0.2,,,0.075,0.4,,
Pina Colada,,3,,,,7,,,,,2,,
